price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,direction,street_in_front_of_house,width,city,district
15.0,65.0,7.0,7.0,True,True,True,True,Nhà mặt tiền,None,10.0,5.0,Hà Nội,Nội thành
3.75,80.0,3.0,4.0,False,False,False,False,Nhà mặt tiền,None,6.0,5.0,Hồ Chí Minh,Nội thành
3.5,80.0,2.0,3.0,False,False,False,False,Nhà mặt tiền,None,6.0,5.0,Hồ Chí Minh,Ngoại thành
1.45,40.0,2.0,2.0,False,False,False,False,Nhà trong hẻm,None,3.0,4.0,Hồ Chí Minh,Nội thành
5.6,60.0,3.0,4.0,True,True,True,True,Nhà mặt tiền,None,12.0,4.447257932086094,Hồ Chí Minh,Nội thành
3.95,48.0,4.0,5.0,False,False,False,False,Nhà trong hẻm,None,3.5,4.447257932086094,Hà Nội,Nội thành
4.5,35.0,4.0,2.0,False,False,False,False,Nhà trong hẻm,None,3.5,4.447257932086094,Hà Nội,Nội thành
3.65,90.0,3.0,4.0,False,False,False,False,Nhà mặt tiền,None,6.0,5.0,Hồ Chí Minh,Nội thành
3.4,35.0,5.0,4.0,True,False,True,False,Nhà trong hẻm,None,3.0,3.5,Hà Nội,Ngoại thành
3.95,35.0,5.0,3.0,False,False,False,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Nội thành
13.5,125.0,5.0,5.0,False,False,False,False,Nhà mặt tiền,None,9.0,7.0,Hà Nội,Nội thành
3.9,35.0,5.0,4.0,True,True,False,True,Nhà trong hẻm,None,3.0,5.0,Hà Nội,Ngoại thành
1.96,120.0,4.0,4.0,True,True,False,True,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Ngoại thành
7.29,60.0,4.0,5.0,True,True,True,True,Nhà mặt tiền,None,7.0,5.0,Hồ Chí Minh,Ngoại thành
5.8,40.0,3.0,3.0,True,True,True,True,Nhà mặt tiền,None,3.0,4.3,Hồ Chí Minh,Nội thành
